Date : 2024-12-29 15:16:11
Directory : c:\Users\darli\RiderProjects\kir1l9x
Total : 311 files,  9218 codes, 9 comments, 2274 blanks, all 11501 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        288 |      8,781 |          0 |      2,164 |     10,945 |
| XML      |         19 |        301 |          2 |         81 |        384 |
| YAML     |          3 |         72 |          0 |         15 |         87 |
| MS SQL   |          1 |         64 |          7 |         14 |         85 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAccountsScenario.cs                                                               | C#       |         41 |          0 |          7 |         48 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAccountsScenarioProvider.cs                                                       | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAuditLogsScenario.cs                                                              | C#       |         41 |          0 |          9 |         50 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAuditLogsScenarioProvider.cs                                                      | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllUsersScenario.cs                                                                  | C#       |         41 |          0 |          9 |         50 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllUsersScenarioProvider.cs                                                          | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAuditLogsByDateScenario.cs                                                           | C#       |         43 |          0 |          8 |         51 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAuditLogsByDateScenarioProvider.cs                                                   | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowUserAuditLogsScenario.cs                                                             | C#       |         47 |          0 |         11 |         58 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowUserAuditLogsScenarioProvider.cs                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangeNameScenario.cs                                                                 | C#       |         17 |          0 |          5 |         22 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangeNameScenarioProvider.cs                                                         | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangePasswordScenario.cs                                                             | C#       |         17 |          0 |          5 |         22 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangePasswordScenarioProvider.cs                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Create\CreateAccountScenario.cs                                                              | C#       |         15 |          0 |          5 |         20 |
