"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\DeleteUserResult.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\FindingUserResult.cs", "C#", 0, 0, 19, 0, 0, 6, 25
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\GetAccountTransactionsResult.cs", "C#", 0, 0, 19, 0, 0, 6, 25
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\GetAccountsResult.cs", "C#", 0, 0, 19, 0, 0, 6, 25
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\ReplenishResult.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\TransferResult.cs", "C#", 0, 0, 9, 0, 0, 5, 14
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Transactions\ITransactionService.cs", "C#", 0, 0, 9, 0, 0, 4, 13
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Users\ICurrentUserService.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Users\IUserService.cs", "C#", 0, 0, 14, 0, 0, 10, 24
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\DataAccess.csproj", "XML", 15, 0, 0, 0, 0, 5, 20
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\Extensions\DataAccessExtensions.cs", "C#", 0, 0, 23, 0, 0, 3, 26
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\Repositories\AccountsRepository.cs", "C#", 0, 0, 162, 0, 0, 47, 209
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\Repositories\AuditLogRepository.cs", "C#", 0, 0, 112, 0, 0, 34, 146
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\Repositories\TransactionsRepository.cs", "C#", 0, 0, 121, 0, 0, 24, 145
"c:\Users\darli\RiderProjects\kir1l9x\DataAccess\Repositories\UsersRepository.cs", "C#", 0, 0, 124, 0, 0, 26, 150
"c:\Users\darli\RiderProjects\kir1l9x\Directory.Build.props", "XML", 33, 0, 0, 0, 2, 5, 40
"c:\Users\darli\RiderProjects\kir1l9x\Directory.Packages.props", "XML", 32, 0, 0, 0, 0, 0, 32
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Accounts\Account.cs", "C#", 0, 0, 65, 0, 0, 14, 79
"c:\Users\darli\RiderProjects\kir1l9x\Entities\AuditLogs\AuditLog.cs", "C#", 0, 0, 29, 0, 0, 7, 36
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Entities.csproj", "XML", 7, 0, 0, 0, 0, 3, 10
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Money.cs", "C#", 0, 0, 74, 0, 0, 20, 94
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Transactions\Transaction.cs", "C#", 0, 0, 78, 0, 0, 16, 94
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Transactions\TransactionType.cs", "C#", 0, 0, 18, 0, 0, 2, 20
